ddradID,altID,population_number,population_name,Country,Treatment,GPS_N,GPS_E,1Ovi_Egg,1Ovi_Dead,1Ovi_Living,2Ovi_Egg,2Ovi_Dead,2Ovi_Living,Pigmentation,LegLength,1Ovi_LegLength,2Ovi_LegLength,1Ovi_mass,2Ovi_mass
FrLrLA04_trimmed.sorted,FrLrLA04,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA05_trimmed.sorted,FrLrLA05,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA06_trimmed.sorted,FrLrLA06,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA09_trimmed.sorted,FrLrLA09,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA10_trimmed.sorted,FrLrLA10,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA12_trimmed.sorted,FrLrLA12,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA13_trimmed.sorted,FrLrLA13,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA15_trimmed.sorted,FrLrLA15,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA01_trimmed.sorted,FrLrNA01,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA03_trimmed.sorted,FrLrNA03,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA04_trimmed.sorted,FrLrNA04,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA05_trimmed.sorted,FrLrNA05,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA07_trimmed.sorted,FrLrNA07,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA08_trimmed.sorted,FrLrNA08,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA09_trimmed.sorted,FrLrNA09,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA10_trimmed.sorted,FrLrNA10,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA11_trimmed.sorted,FrLrNA11,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrNA14_trimmed.sorted,FrLrNA14,5,Nimes,France,NA,43.78,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G18-AR-1_trimmed.sorted,G18-AR-1,12,AuAmRhein,Germany,NA,48.95041,8.243427,3,0,202,NA,NA,NA,0.43,7099.18,563.69,NA,NA,NA
G18-AR-10_trimmed.sorted,G18-AR-10,12,AuAmRhein,Germany,NA,48.95041,8.243427,32,34,58,14,54,15,0.34,6547.08,514.59,NA,NA,NA
G18-AR-2_trimmed.sorted,G18-AR-2,12,AuAmRhein,Germany,NA,48.95041,8.243427,0,0,171,NA,NA,NA,0.33,6890.37,567.2,NA,NA,NA
G18-AR-3_trimmed.sorted,G18-AR-3,12,AuAmRhein,Germany,NA,48.95041,8.243427,0,4,210,4,14,157,0.25,6178.54,547.07,NA,NA,NA
G18-AR-4_trimmed.sorted,G18-AR-4,12,AuAmRhein,Germany,NA,48.95041,8.243427,0,0,469,3,100,90,0.07,6706.71,515.75,NA,NA,NA
G18-AR-5_trimmed.sorted,G18-AR-5,12,AuAmRhein,Germany,NA,48.95041,8.243427,0,1,326,0,2,79,0.29,5937.52,547.45,NA,NA,NA
G18-AR-6_trimmed.sorted,G18-AR-6,12,AuAmRhein,Germany,NA,48.95041,8.243427,3,0,141,18,2,61,0.3,6786.35,548.43,NA,NA,NA
G18-AR-7_trimmed.sorted,G18-AR-7,12,AuAmRhein,Germany,NA,48.95041,8.243427,0,0,278,NA,NA,NA,0.46,7907.59,537.3,NA,NA,NA
G18-AR-8_trimmed.sorted,G18-AR-8,12,AuAmRhein,Germany,NA,48.95041,8.243427,51,15,22,NA,NA,NA,0.56,8015.52,444.37,NA,NA,NA
G18-AR-9_trimmed.sorted,G18-AR-9,12,AuAmRhein,Germany,NA,48.95041,8.243427,0,0,191,NA,NA,NA,0.55,3494.32,534.88,NA,NA,NA
G18-BB-1_trimmed.sorted,G18-BB-1,23,Barby,Germany,NA,51.948807,11.916397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G18-BB-2_trimmed.sorted,G18-BB-2,23,Barby,Germany,NA,51.948807,11.916397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G18-BB-3_trimmed.sorted,G18-BB-3,23,Barby,Germany,NA,51.948807,11.916397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G18-BD-11_trimmed.sorted,G18-BD-11,15,Buedingen,Germany,NA,50.248677,9.078187,11,9,329,105,13,0,0.21,7718.63,509.974,NA,NA,NA
G18-BD-12_trimmed.sorted,G18-BD-12,15,Buedingen,Germany,NA,50.248677,9.078187,139,0,0,NA,NA,NA,0.42,7330.31,NA,NA,NA,NA
G18-BD-14_trimmed.sorted,G18-BD-14,15,Buedingen,Germany,NA,50.248677,9.078187,1,4,207,NA,NA,NA,0.8,7806.93,487.564,NA,NA,NA
G18-BD-15_trimmed.sorted,G18-BD-15,15,Buedingen,Germany,NA,50.248677,9.078187,0,0,483,NA,NA,NA,0.49,7637,564.874,NA,NA,NA
G18-BD-19_trimmed.sorted,G18-BD-19,15,Buedingen,Germany,NA,50.248677,9.078187,0,0,157,NA,NA,NA,0.53,NA,586.014,NA,NA,NA
G18-BD-3_trimmed.sorted,G18-BD-3,15,Buedingen,Germany,NA,50.248677,9.078187,5,1,687,21,0,0,0.19,7803.41,570.402,NA,NA,NA
G18-BD-4_trimmed.sorted,G18-BD-4,15,Buedingen,Germany,NA,50.248677,9.078187,1,2,399,0,39,78,0.76,6746.77,528.628,NA,NA,NA
G18-BD-5_trimmed.sorted,G18-BD-5,15,Buedingen,Germany,NA,50.248677,9.078187,0,0,140,98,27,37,0.36,7426.77,581.023,NA,NA,NA
G18-BD-7_trimmed.sorted,G18-BD-7,15,Buedingen,Germany,NA,50.248677,9.078187,117,10,42,13,2,265,0.5,NA,522.973,NA,NA,NA
G18-BD-9_trimmed.sorted,G18-BD-9,15,Buedingen,Germany,NA,50.248677,9.078187,0,0,438,0,0,190,0.42,8290.57,546.466,NA,NA,NA
G18-BH-10_trimmed.sorted,G18-BH-10,17,BadHersfeld,Germany,NA,50.852645,9.743685,16,7,290,0,2,179,0.27,6264.44,551.086,NA,NA,NA
G18-BH-12_trimmed.sorted,G18-BH-12,17,BadHersfeld,Germany,NA,50.852645,9.743685,1,26,204,1,108,45,0.25,6423.77,492.713,NA,NA,NA
G18-BH-17_trimmed.sorted,G18-BH-17,17,BadHersfeld,Germany,NA,50.852645,9.743685,0,0,205,31,19,98,0.05,6225.79,572.147,NA,NA,NA
G18-BH-18_trimmed.sorted,G18-BH-18,17,BadHersfeld,Germany,NA,50.852645,9.743685,0,2,172,98,31,5,0.36,6479.39,585.516,NA,NA,NA
G18-BH-2_trimmed.sorted,G18-BH-2,17,BadHersfeld,Germany,NA,50.852645,9.743685,0,2,229,0,0,119,0.24,6388.2,582.345,NA,NA,NA
G18-BH-3_trimmed.sorted,G18-BH-3,17,BadHersfeld,Germany,NA,50.852645,9.743685,0,0,100,51,0,0,0.44,5960.53,557.501,NA,NA,NA
G18-BH-5_trimmed.sorted,G18-BH-5,17,BadHersfeld,Germany,NA,50.852645,9.743685,0,0,243,0,0,154,0.26,6484.68,531.807,NA,NA,NA
G18-BH-6_trimmed.sorted,G18-BH-6,17,BadHersfeld,Germany,NA,50.852645,9.743685,4,0,351,37,0,98,0.42,8017.42,555.109,NA,NA,NA
G18-BH-8_trimmed.sorted,G18-BH-8,17,BadHersfeld,Germany,NA,50.852645,9.743685,0,0,340,0,0,123,0.17,6390.86,586.099,NA,NA,NA
G18-BH-9_trimmed.sorted,G18-BH-9,17,BadHersfeld,Germany,NA,50.852645,9.743685,0,0,126,7,3,70,0.35,6736.55,584.418,NA,NA,NA
