,picture,MotherID,light,dark,dark/light,black,white,red,green,blue,yellow,purple,turquoise
65,G18-BM-2.posterize.JPG,G18-BM-2,42366,19476,0.459708257,16033,38862,3256,0,60854,3504,187,19
66,G18-BM-20.posterize.JPG,G18-BM-20,26692,16353,0.612655477,14222,23625,1903,0,52693,3067,228,22
67,G18-BM-21.posterize.JPG,G18-BM-21,25082,13968,0.55689339,11757,24216,1992,0,70351,866,219,39
68,G18-BM-22.posterize.JPG,G18-BM-22,27769,10284,0.370341028,9119,27257,1075,0,52858,512,90,124
69,G18-BM-23.posterize.JPG,G18-BM-23,22388,6447,0.287966768,4263,17111,2018,0,43275,5277,166,18
70,G18-BM-24.posterize.JPG,G18-BM-24,15409,6917,0.448893504,5548,12320,1263,0,33673,3089,106,1
71,G18-BM-25.posterize.JPG,G18-BM-25,20367,10032,0.492561497,7758,15399,2173,0,59563,4968,101,2
72,G18-BM-26.posterize.JPG,G18-BM-26,19798,3994,0.201737549,2536,17585,1343,0,48106,2213,115,22
73,G18-BM-27.posterize.JPG,G18-BM-27,27714,19157,0.691239085,17166,23949,1905,0,58814,3765,86,23
74,G18-BM-28.posterize.JPG,G18-BM-28,12843,3961,0.308417037,3231,11586,624,0,29608,1257,106,40
75,G18-BM-29.posterize.JPG,G18-BM-29,28364,11114,0.39183472,9281,25262,1743,0,49883,3102,90,33
76,G18-BM-3.posterize.JPG,G18-BM-3,23850,8065,0.338155136,6610,21810,1367,0,32964,2040,88,17
77,G18-BM-30.posterize.JPG,G18-BM-30,33167,13313,0.401392951,11395,30783,1726,0,66574,2384,192,46
78,G18-BM-4.posterize.JPG,G18-BM-4,35666,12032,0.3373521,8627,32509,3213,0,49747,3157,192,25
79,G18-BM-5.posterize.JPG,G18-BM-5,24673,10562,0.428079277,8694,19400,1709,0,53577,5273,159,4
80,G18-BM-6.posterize.JPG,G18-BM-6,30279,16648,0.549820007,14780,28099,1655,0,66491,2180,213,66
81,G18-BM-7.posterize.JPG,G18-BM-7,19103,9847,0.515468775,7688,17007,2059,0,38996,2096,100,34
