"","ddradID","altID","population_number","population_name","Country","Treatment","X1Ovi_Egg","X1Ovi_Dead","X1Ovi_Living","X2Ovi_Egg","X2Ovi_Dead","X2Ovi_Living","Pigmentation","LegLength","X1Ovi_LegLength","X2Ovi_LegLength","X1Ovi_mass","X2Ovi_mass","dat_filtered$population_number","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"2.4","E18-Pa-16-photo_trimmed.sorted","E18-Paernu-16-Photo",41,"Paernu","Estonia","France",334,0,0,0,5,100,0.08,5817.01,NA,615.7627,NA,0.377,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"2.5","E18-Pa-1-photo_trimmed.sorted","E18-Paernu-1-Photo",41,"Paernu","Estonia","France",318,0,0,4,0,144,0.46,6686.52,NA,483.87,NA,0.26,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"2.6","E18-Pa-3-photo_trimmed.sorted","E18-Paernu-3-Photo",41,"Paernu","Estonia","Estonia",0,1,243,11,0,161,0.27,7164.59,567.596,574.6707,0.3579333,0.36,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"2.7","E18-Pa-4-photo_trimmed.sorted","E18-Paernu-4-Photo",41,"Paernu","Estonia","France",0,2,449,100,23,0,0.22,6656.66,536.4164,NA,0.2522143,NA,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"2.8","E18-Pa-5-photo_trimmed.sorted","E18-Paernu-5-Photo",41,"Paernu","Estonia","France",20,43,100,74,40,295,0.59,6095.39,539.8867,558.17,0.2543333,0.2923333,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"2.9","E18-Pa-6-photo_trimmed.sorted","E18-Paernu-6-Photo",41,"Paernu","Estonia","Estonia",0,39,421,80,13,62,0.56,6673.98,544.4627,547.696,0.2644667,0.34,41,-4.82983956111907,-2.00421215174177,-2.11600457724734,1.08597933692959,-1.21652430460827,0.261477333223198,-0.354868206774709,-0.0514690266039595,-0.0858593590138549,0.145631476978459,-0.0983405512864645,-0.00357459780081325,0.0925401302666672,-0.0188647061883537,-0.0208823309379723,-0.0186954095161632,-0.0207382121656228,0.00389094887907459,5.12958978377639e-08
"3","E18-PJ-10_trimmed.sorted","E18-Pulgoja-10",40,"Pulgoja","Estonia","France",1,5,338,27,20,53,0.45,6027.43,549.2393,NA,0.2544667,NA,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"3.1","E18-PJ-13_trimmed.sorted","E18-Pulgoja-13",40,"Pulgoja","Estonia","Estonia",0,2,147,0,4,69,0.51,2895.96,573.2133,570.8233,0.3508667,0.3405333,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"3.2","E18-PJ-14_trimmed.sorted","E18-Pulgoja-14",40,"Pulgoja","Estonia","France",0,3,93,0,6,114,0.28,4964.43,547.03,512.6807,0.2504667,0.2329333,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"3.3","E18-PJ-16_trimmed.sorted","E18-Pulgoja-16",40,"Pulgoja","Estonia","France",0,0,133,68,9,1,0.5,4213.08,546.594,NA,0.2448667,0.23,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"3.4","E18-PJ-18_trimmed.sorted","E18-Pulgoja-18",40,"Pulgoja","Estonia","France",0,24,190,2,3,132,0.27,5766.8,583.554,577.3553,0.2913333,0.3088,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"3.5","E18-PJ-3_trimmed.sorted","E18-Pulgoja-3",40,"Pulgoja","Estonia","Estonia",108,3,0,NA,NA,NA,0.75,6382.91,NA,NA,NA,NA,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
