"","rep(compounds, each = 4)","coef","SE","Sum Sq","F value","Pr(>F)","sig","var"
"Origin.12","Itaconate",0.709944130714286,0.225091430467594,0.717639006662388,4.04687760590509,0.0579218102122813,"","Origin"
"Extracted.by.12","Itaconate",-0.12625341476808,0.175942118522449,0.0190448460043339,0.107396838922258,0.7465332252816,"","Extracted.by"
"Winter.treatment.Origin.12","Itaconate",-0.88378718254471,0.344200116951408,1.16912066500521,6.59285266531821,0.0183654876697588,"*","Winter.treatment:Origin"
"Winter.treatment.13","Fumarate",-1.0478314401697,0.768915945470101,9.32477339525145,4.8957864737561,0.0387170911640105,"*","Winter.treatment"
"Origin.13","Fumarate",-0.870253625714285,0.737689984415831,7.49217299079385,3.9336161462163,0.0612300839389125,"","Origin"
"Extracted.by.13","Fumarate",0.183735019042394,0.576613416162902,0.283873833446443,0.14904230002502,0.703528436807685,"","Extracted.by"
"Winter.treatment.Origin.13","Fumarate",-0.462319042706329,1.12804373930338,0.31992450297422,0.167969985745921,0.686278898751966,"","Winter.treatment:Origin"
"Winter.treatment.14","Serine",-0.719203699460991,0.232124524582765,1.34740695023912,7.76244693981094,0.0114015562942314,"*","Winter.treatment"
"Origin.14","Serine",-0.104176065857143,0.222697861750418,0.14338810147795,0.826062630391865,0.374236365546067,"","Origin"
"Extracted.by.14","Serine",-0.263692650546135,0.174071191894748,0.539654351167236,3.10896293508828,0.0931361689548767,"","Extracted.by"
"Winter.treatment.Origin.14","Serine",0.505239899393302,0.340539974800851,0.382084323562377,2.2011978546349,0.153492527589484,"","Winter.treatment:Origin"
"Winter.treatment.15","Threonine",-0.481989968958675,0.14776938502466,1.48667295014373,21.1343270428843,0.000174473806350652,"***","Winter.treatment"
"Origin.15","Threonine",0.294056618571429,0.141768415622247,0.608204389648034,8.64614539364335,0.00808860924910618,"**","Origin"
"Extracted.by.15","Threonine",-0.211005663578554,0.110812905370648,0.257109973234366,3.65503809011725,0.0703343126938167,"","Extracted.by"
"Winter.treatment.Origin.15","Threonine",-0.0211469041449947,0.216786152790559,0.000669356573757744,0.00951547597387374,0.923262740025021,"","Winter.treatment:Origin"
"Winter.treatment.16","B-Alanine",-0.611103271953212,0.177951477067339,1.05048758412003,10.2974488960544,0.00440514162256094,"**","Winter.treatment"
"Origin.16","B-Alanine",-0.0517970895714284,0.170724801739313,0.134441110786055,1.31786466472886,0.26452215102342,"","Origin"
"Extracted.by.16","B-Alanine",-0.146515015321696,0.133446587637482,0.187210889861834,1.83514265211612,0.190628019008975,"","Extracted.by"
"Winter.treatment.Origin.16","B-Alanine",0.409810800508253,0.261065010796302,0.251380010189741,2.46416316341984,0.132156259208918,"","Winter.treatment:Origin"
"Winter.treatment.17","Malate",-0.826336889131101,0.328793482956832,1.18029229680141,3.38910549057243,0.0805131105907955,"","Winter.treatment"
"Origin.17","Malate",-0.413049692571428,0.315441057956163,0.00216458759654272,0.00621542284750014,0.937944990932356,"","Origin"
"Extracted.by.17","Malate",-1.09496668716459,0.246563664776035,7.71109821985933,22.1417401317376,0.000135679127932055,"***","Extracted.by"
"Winter.treatment.Origin.17","Malate",0.657210547322052,0.48235887441045,0.646506638689849,1.85638693467127,0.188189633803924,"","Winter.treatment:Origin"
"Winter.treatment.18","Methionine",-0.193468869680323,0.149190245565425,0.240992976441509,3.36097625224575,0.0816864484474509,"","Winter.treatment"
"Origin.18","Methionine",0.0706761228571429,0.143131574490715,0.060527335946342,0.844136379952676,0.369164873698899,"","Origin"
"Extracted.by.18","Methionine",-0.421145173142145,0.111878414878063,1.01639698335173,14.1750443284329,0.0012180812444292,"**","Extracted.by"
"Winter.treatment.Origin.18","Methionine",-0.0626099914664529,0.218870636597762,0.00586747474149772,0.0818299502251757,0.777774649879799,"","Winter.treatment:Origin"
"Winter.treatment.19","Aspartate",-1.18014001844068,0.490663159205692,6.68092600748868,8.61413504987626,0.00818790649988969,"**","Winter.treatment"
"Origin.19","Aspartate",0.0178797582857142,0.470737146758708,0.0518293414618739,0.066826806104167,0.79865596420329,"","Origin"
"Extracted.by.19","Aspartate",0.887584109169576,0.367950439942954,4.27437972261681,5.51122466313831,0.0292974018567474,"*","Extracted.by"
"Winter.treatment.Origin.19","Aspartate",0.433758873365158,0.719830962161155,0.28161817771738,0.363107900407573,0.55355695588899,"","Winter.treatment:Origin"
"Winter.treatment.20","4-Hydroxyproline",-0.0558395201099633,0.350035082526354,0.19599055942253,0.496539634690716,0.489149716213889,"","Winter.treatment"
"Origin.20","4-Hydroxyproline",0.358604990571428,0.335820028307504,0.407126703029433,1.0314504177686,0.321947751449681,"","Origin"
